strategy,run,elapsed_ms,throughput,peak_bytes,candidates,constraint_rejects,duplicates
baseline,1,1739.511,5748.743,10434901,21723,9666,2233
optimized,1,834.124,11988.625,9657038,21723,9666,2233
baseline,2,1554.730,6431.985,10424049,21729,9595,2292
optimized,2,812.882,12301.916,9646995,21729,9595,2292
baseline,3,1850.892,5402.799,10414323,21956,9797,2319
optimized,3,926.842,10789.324,9638442,21956,9797,2319
baseline,4,1570.658,6366.759,10444494,21880,9814,2243
optimized,4,743.948,13441.798,9666719,21880,9814,2243
baseline,5,1570.024,6369.331,10462096,21884,9657,2375
optimized,5,828.508,12069.888,9683727,21884,9657,2375
baseline,6,1525.900,6553.509,10403002,21977,9743,2410
optimized,6,760.029,13157.387,9626686,21977,9743,2410
baseline,7,1491.659,6703.944,10438285,21999,9855,2308
optimized,7,791.689,12631.227,9660900,21999,9855,2308
